Movie,Rating,Genre,Director,Actor1,Actor2,Budget,Revenue_US,Revenue_World,Date
The Adventures of Tintin,7.3,Animation,Steven Spielberg,Jamie Bell,Andy Serkis,130000000,77591831,373993951,21-Dec-11
The Age of Adaline,7.2,Drama,Lee Toland Krieger,Blake Lively,Michiel Huisman,30000000,42629776,68984536,24-Apr-15
The Alamo,6,Drama,John Lee Hancock,Dennis Quaid,Billy Bob Thornton,92000000,22406362,23911362,9-Apr-04
The Amazing Spider-Man,7,Action,Marc Webb,Andrew Garfield,Emma Stone,220000000,262030663,757890267,3-Jul-12
The Amazing Spider-Man 2,6.6,Action,Marc Webb,Andrew Garfield,Emma Stone,200000000,202853933,708996336,2-May-14
The American,6.3,Crime,Anton Corbijn,George Clooney,Paolo Bonacelli,20000000,35606376,67950723,1-Sep-10
The Amityville Horror,6,Horror,Andrew Douglas,Ryan Reynolds,Melissa George,18500000,65233369,109175673,15-Apr-05
The Animal,4.8,Comedy,Luke Greenfield,Rob Schneider,Colleen Haskell,22000000,55762229,55762229,1-Jun-01
The Ant Bully,5.8,Animation,John A. Davis,Paul Giamatti,Nicolas Cage,45000000,28142535,49610898,28-Jul-06
The Apparition,4.1,Horror,Todd Lincoln,Ashley Greene,Sebastian Stan,17000000,4936819,10637281,24-Aug-12
The Art of Getting By,6.6,Drama,Gavin Wiesen,Freddie Highmore,Emma Roberts,4000000,1430241,1989035,17-Jun-11
The Art of War,5.7,Action,Christian Duguay,Wesley Snipes,Anne Archer,40000000,30199105,30199105,25-Aug-00
The Artist,7.9,Comedy,Michel Hazanavicius,Jean Dujardin,Berenice Bejo,16000000,44667095,128256712,25-Nov-11
The Assassination of Jesse James by the Coward Robert Ford,7.5,Biography,Andrew Dominik,Brad Pitt,Casey Affleck,30000000,3909149,15313631,21-Sep-07
The Assassination of Richard Nixon,7,Biography,Niels Mueller,Sean Penn,Naomi Watts,4600000,708776,4880143,29-Dec-04
The Astronaut Farmer,6.3,Adventure,Michael Polish,Billy Bob Thornton,Virginia Madsen,13000000,11003643,11141213,23-Feb-07
The Avengers,8,Action,Joss Whedon,Robert Downey Jr.,Chris Evans,225000000,623279547,1517935897,4-May-12
The Aviator,7.5,Biography,Martin Scorsese,Leonardo DiCaprio,Cate Blanchett,110000000,102608827,208370892,17-Dec-04
The Awakening,6.5,Horror,Nick Murphy,Rebecca Hall,Dominic West,4900000,95933,6924321,17-Aug-12
The Babadook,6.8,Drama,Jennifer Kent,Essie Davis,Noah Wiseman,2000000,950792,7482387,28-Nov-14
The Back-up Plan,5.3,Comedy,Alan Poul,Jennifer Lopez,Alex O'Loughlin,35000000,37490007,75281179,23-Apr-10
The Ballad of Jack and Rose,6.7,Drama,Rebecca Miller,Daniel Day-Lewis,Catherine Keener,1500000,712294,1126258,25-Mar-05
The Banger Sisters,5.6,Comedy,Bob Dolman,Susan Sarandon,Goldie Hawn,10000000,30306281,38067218,20-Sep-02
The Bank Job,7.2,Crime,Roger Donaldson,Jason Statham,Saffron Burrows,20000000,30060660,66143005,7-Mar-08
The Beach,6.6,Adventure,Danny Boyle,Leonardo DiCaprio,Daniel York,50000000,39778599,39778599,11-Feb-00
The Beaver,6.7,Drama,Jodie Foster,Mel Gibson,Jodie Foster,21000000,970816,5046038,6-May-11
The Belko Experiment,6.1,Horror,Greg McLean,John Gallagher Jr.,Tony Goldwyn,5000000,10166820,11792942,17-Mar-17
The Benchwarmers,5.5,Comedy,Dennis Dugan,David Spade,Jon Heder,35000000,59843754,65063726,7-Apr-06
The Best Exotic Marigold Hotel,7.3,Comedy,John Madden,Judi Dench,Bill Nighy,10000000,46383639,134639780,4-May-12
The Best Man Holiday,6.7,Comedy,Malcolm D. Lee,Monica Calhoun,Morris Chestnut,17000000,70525195,72835710,15-Nov-13
The Best of Me,6.7,Drama,Michael Hoffman,James Marsden,Michelle Monaghan,26000000,26766213,41059418,17-Oct-14
The BFG,6.4,Adventure,Steven Spielberg,Mark Rylance,Ruby Barnhill,140000000,55483770,199646680,1-Jul-16
The Big Bounce,4.9,Comedy,George Armitage,Owen Wilson,Morgan Freeman,50000000,6471394,6626115,30-Jan-04
The Big Short,7.8,Biography,Adam McKay,Christian Bale,Steve Carell,28000000,70259870,133162752,11-Dec-15
The Big Sick,7.6,Comedy,Michael Showalter,Kumail Nanjiani,Zoe Kazan,5000000,42872467,53972860,23-Jun-17
The Big Wedding,5.6,Comedy,Justin Zackham,Robert De Niro,Diane Keaton,32500000,21819348,48425971,26-Apr-13
The Big Year,6.2,Comedy,David Frankel,Owen Wilson,Jack Black,41000000,7204138,7684524,14-Oct-11
The Birth of a Nation,6.4,Biography,Nate Parker,Nate Parker,Armie Hammer,10000000,15861566,16891011,7-Oct-16
The Black Dahlia,5.6,Crime,Brian De Palma,Josh Hartnett,Aaron Eckhart,60000000,22672813,49238525,15-Sep-06
The Blind Side,7.7,Biography,John Lee Hancock,Quinton Aaron,Sandra Bullock,35000000,255959475,305705794,20-Nov-09
The Boat That Rocked,7.4,Comedy,Richard Curtis,Philip Seymour Hoffman,Bill Nighy,50000000,8017467,37472651,13-Nov-09
The Book of Eli,6.9,Action,Allen Hughes,Albert Hughes,Mila Kunis,80000000,94835059,158750817,15-Jan-10
The Book of Life,7.3,Animation,Jorge R. Gutierrez,Diego Luna,Zoe Saldana,50000000,50151543,97651543,17-Oct-14
The Book Thief,7.6,Drama,Brian Percival,Sophie Nelisse,Geoffrey Rush,19000000,21488481,76086711,8-Nov-13
The Boss,5.4,Comedy,Ben Falcone,Melissa McCarthy,Kristen Bell,29000000,63077560,78652207,8-Apr-16
The Boss Baby,6.3,Animation,Tom McGrath,Alec Baldwin,Steve Buscemi,125000000,175003033,510878762,31-Mar-17
The Bounty Hunter,5.6,Action,Andy Tennant,Jennifer Aniston,Gerard Butler,45000000,67061228,135808837,19-Mar-10
The Bourne Identity,7.9,Action,Doug Liman,Franka Potente,Matt Damon,60000000,121468960,214357371,14-Jun-02
